,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_train_f1_macro,split1_train_f1_macro,split2_train_f1_macro,split3_train_f1_macro,split4_train_f1_macro,mean_train_f1_macro,std_train_f1_macro
0,2.5930713176727296,0.03416086740655386,0.08776593208312988,0.0030246298221890005,gini,4,"{'criterion': 'gini', 'max_depth': 4}",0.7277653809372011,0.7059948979591837,0.7209821428571429,0.7098214285714286,0.7104591836734694,0.7150046067996852,0.008090356670008113,23,0.7233737244897959,0.7256277401355121,0.7234754882423277,0.7185332801913112,0.7212435233160622,0.7224507512750018,0.002399966777421523,0.4346764501550501,0.42265760741715425,0.4297006655189804,0.4234183259965271,0.4236788418598409,0.4268263781895105,0.004664453064736361,23,0.4319845416580233,0.4336395024878548,0.43225593338239154,0.42880739072730967,0.4305892744614952,0.43145532854341495,0.001640321602564968
1,3.551509475708008,0.42868682997947105,0.08836369514465332,0.003545867739151911,gini,5,"{'criterion': 'gini', 'max_depth': 5}",0.7427478482626714,0.7206632653061225,0.7302295918367347,0.7292729591836735,0.7270408163265306,0.7299908961831465,0.007197498238248778,21,0.7361288265306123,0.7405340773216421,0.7399760860900757,0.737983260263053,0.7391789557592666,0.73876024119293,0.0015702316901626435,0.45286798266683725,0.4339918186575699,0.4464853447933311,0.44613713093306184,0.4411202804507512,0.44412051150031023,0.006289185118962072,21,0.4447643807667085,0.4556582516461514,0.4544108140993738,0.4623744998438334,0.4555123229131727,0.454544053853848,0.005641890190657573
2,4.675905704498291,0.08289539541013512,0.09694061279296876,0.00647534032648254,gini,6,"{'criterion': 'gini', 'max_depth': 6}",0.7580490914886835,0.732780612244898,0.7503188775510204,0.7455357142857143,0.7429846938775511,0.7459337978895734,0.00834111791383574,19,0.7623565051020408,0.7643682742128338,0.7630131526504583,0.7572738142686329,0.7632522917497011,0.7620528075967334,0.00247602180565797,0.5207303714883541,0.4843812375272104,0.5071662316935367,0.4909869503406655,0.4988975713861666,0.5004324724871867,0.01270089894977042,19,0.5253514505121613,0.526452117030485,0.519724380574399,0.5169511624659161,0.5164153069126239,0.5209788834991171,0.004188034697627432
3,5.533017253875732,0.34726914984438606,0.1174863338470459,0.019084720748501233,gini,7,"{'criterion': 'gini', 'max_depth': 7}",0.7701625757092764,0.7423469387755102,0.7602040816326531,0.7624362244897959,0.7528698979591837,0.7576039437132838,0.009412951515722587,18,0.7825255102040817,0.7878836189717019,0.7846153846153846,0.7815862893583101,0.7844559585492228,0.7842133523397402,0.002165253604386125,0.5524933495844768,0.5206119798524597,0.5429028326005069,0.5398454699782211,0.5350982955639529,0.5381903855159235,0.010469790916623306,18,0.5720121428945318,0.5790791995111965,0.5696915090559923,0.5735328809565619,0.5706613349460903,0.5729954134728745,0.003305506068710981
4,6.285408067703247,0.3352776034982809,0.11010589599609374,0.007968735791006532,gini,8,"{'criterion': 'gini', 'max_depth': 8}",0.7784507491233663,0.7538265306122449,0.7691326530612245,0.7735969387755102,0.7633928571428571,0.7676799457430407,0.008525580449543789,15,0.8056441326530612,0.8074930251096054,0.8040653646871263,0.8030290952570746,0.8058987644479872,0.8052260764309709,0.0015453358544589787,0.5742070040969274,0.5430272326242719,0.5718329697732737,0.5639924498415197,0.5609890615935489,0.5628097435859084,0.011021593123827613,16,0.6136135905186773,0.6152861907642596,0.6111577898919203,0.609857308452529,0.6069010241986229,0.6113631807652017,0.0029214732437183193
5,6.424635362625122,0.15092974730005898,0.13125228881835938,0.018399684777685228,gini,9,"{'criterion': 'gini', 'max_depth': 9}",0.7787695250239082,0.7614795918367347,0.7793367346938775,0.7761479591836735,0.7665816326530612,0.772463088678251,0.007152973471438794,13,0.8264508928571429,0.8271821442805899,0.8263850139497808,0.8237544838581108,0.8247907532881626,0.8257126576467574,0.0012522617477204374,0.5758560411797963,0.5662574407540036,0.5896124234763599,0.5757953249561183,0.5705406945534753,0.5756123849839507,0.007865506195180637,14,0.6484581731684637,0.6507731936944712,0.6484472308906771,0.6486206577094793,0.6422072842041268,0.6477013079334437,0.0028842756081868233
6,7.1465065479278564,0.28547896557892977,0.1152918815612793,0.0033732732632092612,gini,10,"{'criterion': 'gini', 'max_depth': 10}",0.7838699394325789,0.7605229591836735,0.7809311224489796,0.7815688775510204,0.7726403061224489,0.7759066409477402,0.00857959286068337,11,0.849250637755102,0.850697489039458,0.8483060980470307,0.8432841769629335,0.8481466719808689,0.8479370147570785,0.0024969942654979693,0.5889735501229355,0.5667060143429865,0.5945991126096442,0.5915434667094421,0.5852039580671083,0.5854052203704233,0.009845196924580142,11,0.6879469071555507,0.6904062586972248,0.6844498626651949,0.6820499587597729,0.6834324581572924,0.6856570890870073,0.003072967503188471
7,6.950629425048828,0.09827460412963895,0.12885489463806152,0.011255409099673114,gini,11,"{'criterion': 'gini', 'max_depth': 11}",0.7829136117309531,0.7665816326530612,0.7822066326530612,0.7809311224489796,0.7735969387755102,0.7772459876523131,0.006282582355133821,10,0.8734853316326531,0.8742925468314069,0.8737345555998406,0.8704663212435233,0.875089677162216,0.8734136864939279,0.001573301760077012,0.5847192380061604,0.5793873675567661,0.5923333351645051,0.5876502469844059,0.5935502895235956,0.5875280954470867,0.005167846784546806,10,0.7383105431292135,0.7388271496562665,0.7340054687677775,0.7369217477688508,0.7375023588054146,0.7371134536255047,0.0016862589134552428
8,7.315854835510254,0.1226459619750014,0.1517946243286133,0.017934664192064836,gini,12,"{'criterion': 'gini', 'max_depth': 12}",0.7838699394325789,0.7621173469387755,0.7873086734693877,0.782844387755102,0.7755102040816326,0.7783301103354954,0.008972051841512587,8,0.8976403061224489,0.8990035870864886,0.8967716221602232,0.8952570745316859,0.8975687524910323,0.8972482684783756,0.001227158667709187,0.5879554629854117,0.5659077602654725,0.6027096366396052,0.5927914217144072,0.5920434721316278,0.5882815507473049,0.012193059377455056,9,0.7888136746032728,0.7959680362584238,0.7826669226071964,0.784694941853406,0.7856048478113901,0.7875496846267378,0.004652733096475439
9,7.675817441940308,0.08231687616907916,0.14182100296020508,0.009127285471244362,gini,13,"{'criterion': 'gini', 'max_depth': 13}",0.7854638189352885,0.7700892857142857,0.782844387755102,0.7847576530612245,0.7783801020408163,0.7803070495013434,0.005673694594879474,2,0.9178890306122449,0.9190115583897968,0.9163013152650459,0.9161418891988841,0.9154244719011558,0.9169536530734256,0.0013063541398222024,0.5900691941596781,0.5788083861107458,0.5976033684028887,0.5965490501805842,0.5951541772539287,0.5916368352215652,0.0069156008280969175,7,0.8312942793272355,0.8359757152110673,0.8251856716742468,0.830494402072037,0.8254211233783091,0.829674238332579,0.004030931150355644
